ID;Applies To;Country;Date Start;Date end intended;Description of measure implemented;Exceptions;Implementing City/Municipality;Implementing State/Province;Keywords;Quantity;Source;Target city;Target country;Target region;Target state
;;United States;25/03/2020;30/04/2020;Statewide Stay-at-Home Order;;;Hawaii;blanket isolation - no symptoms;3;https://hawaiicovid19.com/statewide-stay-at-home-order-effective-march-25-2020-through-april-30-2020/;;;;
;;Brazil;25/03/2020;;The city continues to advise residents to stay in their homes.;;;;stay home advice;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Brazil;;;;
;;Brazil;25/03/2020;;The action reinforces the prevention work carried out by the municipal government, with the objective of preventing the proliferation of the coronavirus (Covid-19). In addition to the four mobile sirens, the 20 sets of the Alert and Alarm System installed in 12 communities in Petrópolis also emit guidance messages. The equipment plays in the neighborhoods daily at 10, 16 and 20h.;;;;blanket announcement, public announcement;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Brazil;;;;
;;United States;25/03/2020;;Governor also urges large essential businesses to limit in-store customers, enhance curbside pick-up and delivery services, and implement physical distancing measures to protect customer and employee health;;;Maine;general nonessential business suspension;2;https://www.maine.gov/governor/mills/newsroom?q=newsroom&combine=&page=0;;;;
;;United States;25/03/2020;;everyone arriving in Alaska to self-quarantine for 14 days upon arrival;;;Alaska;domestic traveller quarantine;1;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alaska;;;;
;;Uganda;25/03/2020;;Toll free line for case reporting;;;;phone line;1;https://twitter.com/MinofHealthUG/status/1242816294656843779;;;;
;;;25/03/2020;;A direct 24-hour hotline was set up;;;;phone line;1;https://www.moroccoworldnews.com/2020/03/297599/allo-300-interior-ministry-armed-forces-launch-new-covid-19-hotline/;;;;
;;United States;25/03/2020;;A hotline had been set up for New Jersey workers to report employers for making them go to work despite the emergency declaration, but it got so many calls that it crashed the system;;;New Jersey;community spread, low compliance;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_Jersey#Government_response;;;;
;;Czechia;25/03/2020;;As of 25 March 2020, from 00.00 hours, all persons are prohibited from being present in retail outlets over 500 m2 between 08.00 and 10.00, except for persons over 65 years of age.;;;;elderly;;https://koronavirus.mzcr.cz/vyvoj-udalosti-v-case/;;;;
;;Namibia;25/03/2020;15/04/2020;The parliament will be suspended for 21 days.;;;;parliament suspended;;https://www.namibian.com.na/89582/read/Partial-lockdown-in-effect-from-Friday;;;;
;;Singapore;25/03/2020;;39,000 tests total, or 6,800 per million people;;;;testing numbers total;;;;;;
;;Poland;25/03/2020;11/04/2020;"Non-essential travel was prohibited, with exception for travelling to work or home, SARS-CoV-2 control related activities, or ""necessary everyday activities"". Everyday activities qualifying as ""necessary"" included shopping, buying medicines, visiting doctors, walking dogs, jogging, cycling and walking, provided that no more than two people participate contact with others is avoided. The restrictions were initially defined for the period from 25 March to 11 April inclusive.";;;;blanket curfew - no symptoms, domestic travel ban;;https://tvn24.pl/polska/koronawirus-w-polsce-zakaz-wychodzenia-z-domu-bez-konkretnego-powodu-i-nowe-obostrzenia-od-25-marca-4512517;;;;
;;Poland;25/03/2020;11/04/2020;"Poland's government announced further restrictions on people leaving their homes and on public gatherings to further limit the spread of SARS-CoV-2 infections. The new limits constrained gatherings by default to a maximum of two people, with an exception for families); an exception for religious gatherings, such as mass in the Catholic Church, funerals and marriages in which five participants and the person conducting the ceremony were allowed to gather; and an exception for work places.";;;;outdoor gatherings banned;2;https://tvn24.pl/polska/koronawirus-w-polsce-zakaz-wychodzenia-z-domu-bez-konkretnego-powodu-i-nowe-obostrzenia-od-25-marca-4512517;;;;
;;United States;25/03/2020;07/05/2020;All travel, including, but not limited to, travel by automobile, motorcycle, scooter, bicycle, train, plane, or public transit, except Essential Travel and Essential Activities as defined herein, is prohibited.;;;Indiana;domestic travel limitation;;https://www.in.gov/gov/files/Executive_Order_20-08_Stay_at_Home.pdf;;;;
;;United States;25/03/2020;07/05/2020;all individuals currently living within the State of Indiana are ordered to stay at home or at their place of residence;;;Indiana;blanket curfew - no symptoms;;https://www.in.gov/gov/files/Executive_Order_20-08_Stay_at_Home.pdf;;;;
;;United States;25/03/2020;07/05/2020;All public and private gatherings of any number of people occurring outside a single household or living unit are prohibited;;;Indiana;outdoor gatherings banned;2;https://www.in.gov/gov/files/Executive_Order_20-08_Stay_at_Home.pdf;;;;
;;United States;25/03/2020;07/05/2020;All non-essential businesses are closed ;;;Indiana;general nonessential business suspension;;https://www.in.gov/gov/files/Executive_Order_20-08_Stay_at_Home.pdf;;;;
;;Japan;25/03/2020;;Japanese government encourages all citizen to refrain non-essential outdoor activities and comply social distancing from this weekend. ;;;;social distancing advice;;https://english.kyodonews.net/news/2020/03/d8099c418741-coronavirus-outbreak-latest-march-25-2020.html;;;;
;;Japan;24/03/2020;;2020 Tokyo Olympic postponed for a year;;;;very large event cancellation or postponement;;https://www.japantimes.co.jp/sports/2020/03/24/olympics/2020-tokyo-games-postponed-ioc-dick-pound/#.XnyWftMzY_U;;;;
;;Spain;24/03/2020;;As of 23 March 2020, there were 240,245 police officers[233] and more than 2,500 military deployed across the country. By 31 March, police had issued 100,000 citations and arrested 1,000 people for violating social distancing regulations. Fines can range from €100 to €30,000 for serious violations.[237] Drones are used for enforcement. Police also set up 30,000 roadblocks to stop people from traveling.;;;;compulsory isolation;;https://www.vox.com/2020/3/20/21183315/coronavirus-spain-outbreak-cases-tests;;;;
;;Nepal;24/03/2020;;The country-wide lockdown came into effect.;;;;blanket curfew - no symptoms;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nepal;;;;
;;United States;24/03/2020;;The three towns located on Aquidneck Island - Newport, Middletown, and Portsmouth - all implement shelter-in-place orders;;Middletown, Newport, Portsmouth;Rhode Island;blanket curfew - no symptoms;;;;;;
;;United States;24/03/2020;;Dr. Deborah Birx, the White House coronavirus response coordinator, advised people who have left New York City to self-quarantine for 14 days;;;New York;voluntary isolation;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_New_York_(state)#Government_response;;;;
;;United States;24/03/2020;;Travelers entering Rhode Island from T. F. Green Airport are required to self-quarantine for 14 days;;Block Island;Rhode Island;cohort isolation - no symptoms;2;;;;;
;;United States;24/03/2020;15/04/2020;shelter-in-place order for Block Island effective March 24;;;Rhode Island;blanket curfew - no symptoms;;;;;;
;;Brazil;24/03/2020;;The six cemeteries in the Federal District, managed by Campo da Esperança Serviços Ltda., Have adopted specific protocols to avoid crowding people and prevent further cases of transmission of the new coronavirus. One of the measures foresees that patients who die as a result of the disease caused by the microorganism, Covid-19, will not be able to have a funeral ceremony at the DF units, only the burial, in compliance with a protocol defined by local Executive bodies.;;;;funeral hygiene;;https://www.correiobraziliense.com.br/app/noticia/cidades/2020/03/24/interna_cidadesdf,836378/cemiterios-do-df-nao-poderao-fazer-velorio-de-vitimas-da-covid-19.shtml;;;;
;;Brazil;24/03/2020;;"president Bolsonaro declared that the routine in the country must return to reality and that the Brazilian press spread the panic around the coronavirus, which he called again ""little flu"". Speaking on radio and television, Bolsonaro also criticized governors for determining quarantine – with trade and border closures – and questioned why schools were closed.[139][140] Politicians and authorities reacted to President Jair Bolsonaro's pronouncement about the coronavirus pandemic on Tuesday night (24). The president called for ""a return to normal"", an end to ""mass confinement"" and said that the media had spread ""dread"".";;;;public statement in support of resuming business;;https://g1.globo.com/politica/noticia/2020/03/24/cidades-brasileiras-registram-panelacos-contra-bolsonaro.ghtml;;;;
;;Brazil;24/03/2020;;Mechanical Turk data n=70;;;;public mask wearing data;35;Mechanical Turk Survey n=70;;;;
;;United States;24/03/2020;;all businesses and not-for-profit entities in the state shall suspend in-person business operations;;;;general nonessential business suspension;2;;;;;
;;United States;24/03/2020;04/05/2020;Governor Baker declared schools closed until May 4;;;Massachussets;school closure;;;;;;
;;United States;24/03/2020;;Vermonters are directed to stay at home or in their place of residence, leaving only for essential reasons;;;Vermont;blanket curfew - no symptoms;;;;;;
;;Ireland;24/03/2020;;On 24 March, it was announced that the state would take control of all private hospital facilities for the duration of the coronavirus pandemic.;;;;increase hospital capacity;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Republic_of_Ireland;;;;
;;Uganda;24/03/2020;23/04/2020;Entry of any person or animal to Uganda prohibited;;;;international travel ban - all countries;6;https://webcache.googleusercontent.com/search?q=cache:gHpumsIsyeEJ:https://nms.go.ug/index.php/client-services/publications/send/13-legal/56-the-public-health-prohibition-of-entry-into-uganda-order-2020+&cd=1&hl=en&ct=clnk&gl=cz;;;;
;;;24/03/2020;;Suspension of all inter-city buses;;;;domestic travel limitation;;https://www.moroccoworldnews.com/2020/03/297009/covid-19-morocco-to-suspend-intercity-buses/;;;;
;;United States;24/03/2020;;The Commissioner of Public Health issued emergency regulations for grocery stores and pharmacies. A daily senior shopping hour, checkout line distancing markers, hand washing and sanitizer for employees, disinfecting wipes for customers to use on carts;;;Massachussets;public hand sanitizer supply;;;;;;
;;Iceland;24/03/2020;;closed, as did any businesses requiring a proximity of less than 2 m (hairdressers, tattoo artists, etc.).;;;;general nonessential business suspension;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Iceland;;;;
;;Czechia;24/03/2020;;When contacting others, keep a distance of at least 2 meters, if possible.;;;;social distancing;;https://koronavirus.mzcr.cz/vyvoj-udalosti-v-case/;;;;
;;Czechia;24/03/2020;;From 24 March 2020 at 06.00, it is possible to stay in publicly accessible places for a maximum of two persons, with the exception of household members, occupation, business or other similar activity or participation in a funeral. ;;;;outdoor gatherings banned;2;https://koronavirus.mzcr.cz/vyvoj-udalosti-v-case/;;;;
;;Iceland;24/03/2020;;From 00:00 on 24 March, a nation-wide ban on public assemblies over 20 took effect.;;;;outdoor gatherings banned;20;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Iceland;;;;
;;Estonia;24/03/2020;;On 24 March Government Emergency Committee decided that at least 2 meters distance between people should be kept in public places,;;;;social distancing;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Estonia;;;;
