ID;Applies To;Country;Date Start;Date end intended;Description of measure implemented;Exceptions;Implementing City/Municipality;Implementing State/Province;Keywords;Quantity;Source;Target city;Target country;Target region;Target state
;;United States;27/03/2020;;Select Coastal State Parks Closed Due to Overcrowding;;;Maine;closure of gathering places;;https://www.maine.gov/governor/mills/newsroom?q=newsroom&combine=&page=0;;;;
;;Nepal;27/03/2020;;Fourth case nationally, the first outside Kathmandu, was confirmed. It involved a 34-year-old man who had recently returned from the United Arab Emirates. He is being treated at Seti Provincial Hospital in Dhangadhi;;;;case reporting;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Nepal;;;;
;;Ireland;27/03/2020;12/04/2020;"On 27 March the government announced people must stay at home until 12 April from the following midnight with the following exemptions:
to travel to and from work (where work is essential);
shopping for food or household goods
to attend medical appointments or collect medicines or related products
for vital family reasons, such as caring for a relative
to take brief exercise within 2km of home
farming purposes, such as food production or care of animals";"to travel to and from work (where work is essential);
shopping for food or household goods
to attend medical appointments or collect medicines or related products
for vital family reasons, such as caring for a relative
to take brief exercise within 2km of home
farming purposes, such as food production or care of animals";;;blanket curfew - no symptoms;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Republic_of_Ireland;;;;
;;United States;27/03/2020;;All public K-12 school districts within the state of New Hampshire shall maintain their provision of temporary remote instruction and support;;;New Hampshire;school closure;;https://www.governor.nh.gov/news-media/emergency-orders/index.htm;;;;
;;United States;27/03/2020;;requiring the closure of all non-essential in-person businesses;;;New Hampshire;general nonessential business suspension;2;https://www.governor.nh.gov/news-media/emergency-orders/index.htm;;;;
;;United States;27/03/2020;;On March 26, 2020 Governor Sununu announced a stay-at-home order;;;New Hampshire;blanket curfew - no symptoms;;https://www.governor.nh.gov/news-media/emergency-orders/index.htm;;;;
;;Ireland;27/03/2020;12/04/2020;All public or private gatherings of any number of people outside a residence are prohibited.;;;;outdoor gatherings banned;1;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Republic_of_Ireland;;;;
;;Ireland;27/03/2020;12/04/2020;More non-essential shops and services will be closed, adult community education centers and local community centres will be shut.;;;;limited nonessential business suspension;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Republic_of_Ireland;;;;
;;Ireland;27/03/2020;12/04/2020;All non-essential surgery, health procedures and other non-essential health services will be postponed.;;;;hospital treatment;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Republic_of_Ireland;;;;
;over 70 years of age or who are in specific categories of vulnerable people;Ireland;27/03/2020;12/04/2020;Shielding or cocooning of those over 70 years of age or who are in specific categories of vulnerable people will be introduced.;;;;isolation advice to elderly;;https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_the_Republic_of_Ireland;;;;
